TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT
N75854,21,16.0,3336.45
N633JB,524,38.1,10240.06
N512NK,85,22.6,2140.78
N87507,524,38.1,9366.8
N755US,85,22.9,2246.24
N809UA,200,28.3,4389.64
N627VA,85,22.2,2401.24
N631VA,85,22.6,2385.27
N521SW,85,21.2,2233.42
N8621A,85,23.1,2160.44
N227WN,524,36.7,9524.28
N406WN,200,30.9,4193.86
N7720F,524,38.9,9260.52
N611SW,368,32.8,7334.99
N415WN,368,33.8,7530.73
N37413,85,21.2,2318.41
N78866,524,36.3,9253.44
N38458,21,16.6,3242.04
N75426,524,35.5,9972.72
N66825,85,22.0,2398.4
N69826,85,21.9,2333.53
N585UW,85,21.9,2276.29
N753US,524,38.1,10476.03
N3DCAA,21,16.7,3592.51
N487AA,85,22.8,2390.95
N680DA,524,36.8,9874.28
N6715C,85,23.1,2292.14
N894AT,524,35.7,10542.96
N957DN,200,31.3,4471.06
N654DL,200,31.2,4515.9
N936DN,21,15.4,3496.51
N908DL,524,38.7,9276.52
N14168,524,39.3,9213.36
N213FR,200,29.2,4539.11
N587HA,85,23.0,2137.59
N928MQ,85,21.4,2407.36
N633MQ,524,37.2,9224.94
N702BR,368,30.8,7158.47
N944SW,200,28.6,4310.2
N875AS,85,23.3,2287.46
N69816,85,22.4,2179.1
N904DL,85,21.9,2277.76
N973DL,368,30.8,7220.72
N448UA,368,30.9,7891.02
N14250,85,21.5,2325.36
N73275,524,39.2,9263.79
N13988,85,21.6,2121.43
N918SW,524,35.8,10043.6
N252AU,85,22.2,2309.36
N417UA,85,21.6,2283.34
N586UW,21,16.3,3609.31
N959UW,21,15.3,3246.01
N535UW,200,31.1,4325.84
N492UA,85,21.4,2274.72
N26210,368,32.7,7234.28
N562WN,85,22.1,2348.59
N741SA,85,21.0,2209.2
N758SW,5,0.26,500.83
N7732A,85,23.4,2303.77
N602AW,524,36.9,10191.09
N5DKAA,85,23.2,2338.23
N403AA,21,16.2,3238.16
N3CPAA,85,23.2,2247.89
N4YLAA,524,36.5,9757.2
N535AS,85,22.7,2150.27
N630JB,524,36.0,10510.81
N6702,85,23.0,2414.68
N530US,85,21.6,2224.67
N915AT,524,37.0,10510.04
N917DL,85,23.2,2230.88
N318US,200,29.4,4547.82
N319NB,85,22.3,2295.66
N626MQ,200,29.8,4263.24
N526NK,85,23.5,2361.14
N463SW,21,15.1,3569.48
N16701,85,23.5,2406.33
N908DA,368,31.5,7562.61
N37274,524,36.4,10161.29
N954SW,368,33.6,7191.28
N969SW,368,30.6,7049.13
N433UA,85,23.1,2260.23
N36247,524,38.0,9905.31
N127UW,200,30.1,4073.59
N509AY,21,16.5,3416.47
N587UA,524,37.3,10266.57
N828UA,524,37.6,9260.93
N493UA,21,15.5,3214.59
N34222,200,29.2,4069.04
N641VA,85,22.3,2189.68
N704SW,200,31.2,4433.98
N932WN,85,21.9,2337.95
N225WN,85,21.1,2381.72
N670SW,524,38.8,10517.62
N930WN,524,37.0,9904.33
N468WN,5,0.26,466.27
N8327A,85,22.2,2269.01
N7746C,85,23.0,2264.53
N8614M,368,31.7,7302.79
N241WN,85,23.5,2196.66
N619SW,85,22.9,2302.64
N75851,85,23.4,2125.52
N17719,524,38.2,9382.29
N73299,200,29.7,4078.77
N155UW,85,22.9,2332.46
N634AA,200,31.0,4367.49
N4XDAA,524,37.5,10199.68
N3CKAA,85,23.4,2226.05
N558AA,368,30.9,7276.4
N4XEAA,21,16.4,3473.49
N635AA,200,30.8,3963.84
N5CNAA,85,22.9,2106.83
N524AS,200,30.1,4331.07
N805JB,85,23.0,2238.73
N789JB,85,22.1,2200.44
N828JB,524,38.3,10077.1
N625JB,85,22.5,2134.7
N504JB,85,22.0,2354.83
N710TW,85,23.4,2320.89
N910DE,524,37.6,9790.02
N187DN,368,33.6,6916.89
N556NW,85,22.4,2170.94
N6714Q,368,31.3,7386.57
N928DL,85,23.3,2217.75
N5EXAA,85,21.1,2172.12
N017AA,368,34.1,7398.89
N374NW,85,23.0,2192.53
N946DL,85,22.8,2131.61
N343NW,524,36.5,10429.14
N959DN,85,22.5,2331.87
N533US,85,21.1,2385.5
N1402A,85,22.0,2399.87
N675DL,21,16.6,3609.82
N589JB,85,22.1,2326.75
N744EV,200,31.2,4387.58
N902FR,200,28.5,4225.42
N630MQ,85,21.0,2278.54
N813MQ,200,30.1,3967.55
N679MQ,200,30.6,4008.78
N517NK,85,21.7,2180.58
N771SK,368,31.9,7500.49
N461SW,85,21.6,2147.87
N457SW,85,22.6,2233.36
N170PQ,200,31.3,4231.44
N951SW,85,23.1,2403.1
N949DL,524,35.5,9406.99
N25134,200,29.7,4416.82
N750SK,85,21.1,2177.4
N948SW,85,22.5,2212.4
N932SW,85,22.8,2361.82
N930DL,5,0.26,516.64
N11113,524,37.7,10499.46
N826UA,200,30.3,4426.33
N207UW,5,0.26,487.99
N556UW,524,35.5,9555.94
N840AW,85,21.6,2325.42
N527SW,85,23.3,2374.7
N229WN,524,39.0,9219.76
N608SW,368,30.7,7765.79
N487WN,200,29.1,4257.77
N263WN,85,21.7,2359.73
N773SA,200,28.3,4473.51
N298WN,85,23.4,2152.42
N394SW,200,29.7,3959.45
N362SW,524,39.4,9514.18
N748UW,368,31.9,7727.7
N3JXAA,524,36.1,9478.34
N483AA,200,30.4,4498.97
N402AS,21,16.7,3402.95
N596AS,85,22.7,2179.39
N518AS,200,29.8,4484.11
N784JB,200,30.3,3993.91
N699DL,21,16.8,3196.26
N3733Z,85,22.9,2149.77
N895AT,85,21.3,2342.69
N912DN,5,0.26,468.88
N375NC,85,23.4,2405.74
N302NB,85,22.9,2399.04
N821DN,85,23.5,2382.57
N675MQ,85,21.2,2340.15
N823MQ,200,30.0,4231.02
N903SW,85,23.0,2109.68
N34455,85,23.2,2129.73
N663JB,85,23.0,2267.35
N584NW,85,23.3,2308.61
N27733,85,22.8,2103.41
N567SW,368,33.8,6986.05
N18101,368,33.6,7087.12
N837AS,85,23.4,2193.25
N37470,368,32.9,7045.26
N602NK,85,23.4,2240.62
N793SK,524,38.5,9509.27
N459UA,85,21.1,2114.93
N440UA,368,33.5,7009.52
N914UY,524,37.4,10165.76
N529UA,85,22.8,2243.86
N834UA,368,33.9,7080.29
N854VA,85,23.4,2104.65
N354SW,368,32.3,6966.35
N8627B,85,21.1,2399.33
N8610A,85,21.0,2280.65
N8624J,85,21.9,2172.25
N373SW,85,21.8,2365.61
N416WN,200,28.3,4376.49
N635SW,200,28.9,4526.81
N452WN,368,32.9,7040.42
N438WN,200,30.9,4076.4
N582UW,524,38.7,9397.3
N3LHAA,200,30.2,4533.05
N5DFAA,85,22.2,2157.08
N355AA,368,30.6,7517.8
N473AA,368,30.9,7864.06
N3EFAA,85,21.9,2252.6
N578AA,85,23.0,2111.18
N3CCAA,200,28.6,4290.38
N562AS,368,32.9,7907.53
N462AS,85,22.4,2138.36
N524JB,85,21.3,2288.79
N37700,85,21.8,2323.51
N977DL,21,16.4,3296.92
N707TW,524,37.0,9706.07
N662DN,85,21.7,2313.28
N12167,85,22.6,2390.17
N900EV,85,21.8,2141.85
N15980,524,35.5,9657.64
N396HA,5,0.27,462.54
N817MQ,524,39.4,10081.74
N689MQ,368,32.2,7332.42
N612NK,85,21.6,2277.4
N455CA,85,23.1,2186.79
N965SW,200,28.5,4291.36
N928SW,524,37.9,10317.1
N37273,368,31.6,7724.84
N632SK,200,28.4,3999.26
N436UA,85,21.7,2319.38
N314US,5,0.25,454.78
N207FR,85,21.4,2403.42
N631AW,85,23.1,2356.29
N938UW,368,31.8,7580.45
N180US,368,32.0,7348.46
N17105,368,30.9,7789.69
N685SW,85,21.3,2286.78
N551WN,85,21.5,2297.33
N7709A,85,22.9,2257.87
N204WN,85,23.1,2212.5
N357SW,524,37.6,9214.01
N637SW,85,23.2,2227.79
N8309C,524,39.3,10355.26
N778SW,368,32.5,7813.75
N969WN,368,33.0,7313.02
N442WN,85,22.1,2281.09
N363SW,200,30.6,4216.46
N495WN,200,29.7,4095.16
N520SW,200,30.5,4522.28
N473WN,200,28.5,4112.16
N38454,200,29.1,4543.08
N16713,85,21.5,2373.26
N667AW,21,15.2,3362.63
N507AY,368,33.9,7016.59
N184US,85,23.0,2147.06
N178US,85,21.7,2398.97
N3ENAA,524,36.5,10408.17
N3MBAA,524,37.3,9730.07
N590AA,85,21.6,2176.64
N5EBAA,200,29.7,4235.1
N485AA,21,15.8,3189.56
N530AS,85,21.0,2301.95
N408AS,85,21.8,2279.94
N509JB,368,30.8,7643.54
N534JB,85,23.1,2118.1
N178DN,21,16.3,3352.51
N557NW,368,32.9,7870.96
N332NB,21,15.2,3429.14
N309US,200,29.9,4135.68
N752AT,200,28.9,4181.2
N3DTAA,85,22.3,2414.82
N301DQ,200,28.7,4525.17
N128DL,200,31.2,4506.24
N3761R,368,32.8,7571.66
N364NW,85,21.7,2119.64
N344NB,200,31.2,4538.16
N668DN,524,37.3,9507.22
N523US,21,16.7,3496.1
N11184,85,22.2,2282.67
N615QX,524,38.3,9736.12
N384HA,85,21.1,2270.36
N373HA,524,35.6,9912.14
N512MQ,85,21.6,2373.49
N824MQ,200,30.4,4311.88
N815SK,85,22.9,2211.63
N807SK,21,16.7,3364.19
N778SK,85,22.9,2167.08
N484UA,85,22.8,2268.28
N76503,85,22.9,2281.14
N13994,85,23.1,2232.76
N108SY,524,36.2,9729.43
N797SK,85,22.0,2115.72
N576UA,85,22.1,2370.26
N438UA,21,16.4,3250.79
N717UW,85,22.9,2346.04
N673AW,524,38.8,10174.76
N162UW,200,29.8,4541.59
N541UW,524,36.0,10537.88
N476UA,85,22.7,2188.36
N546UA,85,23.2,2272.85
N429WN,85,23.4,2200.04
N480WN,85,21.4,2314.07
N7811F,85,22.8,2342.26
N785SW,85,22.4,2407.77
N383SW,85,22.3,2175.67
N281WN,85,23.5,2261.21
N224WN,85,21.7,2230.78
N638SW,85,23.2,2374.32
N474WN,368,31.7,7516.13
N8625A,524,35.8,9502.74
N8617E,200,30.6,4284.15
N8629A,85,22.1,2121.77
N658SW,200,30.8,4336.82
N261WN,85,22.1,2129.89
N277WN,368,33.3,7608.16
N660SW,85,21.1,2154.15
N904WN,85,21.2,2385.17
N15710,200,30.2,4374.01
N13750,200,30.7,4171.79
N904AW,85,23.2,2376.26
N3GPAA,524,38.1,9990.11
N790AA,368,33.4,7644.01
N3JMAA,85,21.5,2372.31
N480AA,5,0.24,477.21
N586AS,524,35.7,9526.92
N322US,524,36.7,9873.99
N3744F,524,35.7,10394.17
N587NW,5,0.27,471.29
N197PQ,85,23.3,2205.75
N12172,200,31.0,4488.67
N439SW,85,21.9,2244.48
N685BR,200,31.5,4204.09
N611QX,85,21.2,2197.4
N130DL,85,21.9,2210.73
N33284,200,30.5,4429.18
N57855,85,22.6,2362.7
N14558,85,22.9,2344.63
N113SY,85,21.0,2373.13
N76064,21,16.6,3310.44
N206UW,85,23.5,2341.15
N418WN,85,21.6,2169.49
N498WN,85,22.7,2196.39
N267WN,85,21.8,2124.07
N7738A,5,0.27,500.08
N919WN,524,38.3,10297.53
N457WN,524,35.3,10259.87
N8619F,200,28.6,4494.33
N8655D,85,21.4,2376.46
N957WN,200,29.2,4526.17
N756SA,5,0.25,486.57
N8320J,524,39.2,9914.8
N8325D,85,21.6,2114.76
N294WN,85,22.3,2296.82
N599AA,5,0.26,465.93
N011AA,368,33.3,7206.98
N390AA,524,36.5,9362.97
N548AA,21,16.0,3580.87
N533AS,85,23.5,2286.87
N353JB,85,22.6,2294.54
N6712B,524,39.2,9478.28
N4WTAA,368,32.3,7828.42
N830DN,85,21.5,2133.74
N581NW,524,38.3,10253.65
N980EV,368,32.1,7122.04
N923FR,200,29.2,4282.83
N643MQ,524,36.0,9315.37
N513MQ,21,16.6,3480.9
N629MQ,85,23.1,2242.51
N942MQ,368,32.2,7760.77
N751SK,85,21.1,2250.8
N784SK,85,22.6,2391.41
N36472,85,21.9,2190.57
N814DN,85,23.0,2379.56
N371NB,368,30.5,7882.46
N817DN,85,22.1,2336.75
N3747D,200,31.0,3971.68
N12160,85,23.2,2223.56
N637AW,85,21.1,2175.73
N157UW,85,22.3,2315.72
N813AW,85,21.1,2312.57
N443UA,85,21.4,2236.32
N524VA,368,31.8,7592.68
N529VA,85,23.2,2309.22
N8635F,524,38.1,10108.94
N913WN,200,29.4,4432.38
N652SW,524,37.3,10434.65
N600WN,85,21.0,2144.68
N7812G,200,30.4,4108.81
N231WN,85,21.8,2238.16
N8308K,5,0.26,473.4
N379SW,85,21.5,2399.2
N270WN,368,32.3,7673.88
N205WN,85,23.2,2208.4
N266WN,85,22.6,2212.65
N29717,85,21.3,2331.71
N57868,85,22.3,2211.73
N12116,368,30.7,7457.13
N39297,200,29.1,4459.82
N45905,85,21.2,2384.74
N34282,524,35.7,10486.75
N787AA,85,22.4,2269.77
N795AA,85,21.1,2381.94
N3AVAA,200,28.6,4252.22
N3KHAA,524,35.7,9889.81
N479AA,85,23.1,2308.08
N378AA,200,30.6,4194.91
N3DYAA,200,28.6,4470.06
N3JDAA,200,31.4,4164.85
N852AA,85,22.4,2226.4
N5CFAA,368,30.8,7268.36
N4XLAA,85,21.5,2165.62
N5DUAA,85,21.1,2180.38
N615AS,85,21.4,2278.13
N594AS,200,30.4,4266.77
N325NB,200,30.4,4134.91
N3762Y,524,38.8,10347.73
N904DA,200,29.6,4163.48
N342NW,200,30.2,4474.62
N918DE,524,36.3,9814.33
N917DN,200,30.9,4114.24
N948DL,85,21.7,2267.0
N963DL,524,39.0,10502.9
N920AT,524,39.1,10275.33
N6711M,85,21.8,2301.18
N919DL,85,22.4,2134.99
N816DN,21,15.7,3386.0
N121DE,85,21.8,2399.54
N915DL,85,21.8,2144.61
N348NW,368,31.2,7018.89
N301NB,85,22.7,2403.9
N927AT,200,30.1,4175.97
N586NW,524,39.3,9540.46
N925DN,85,21.3,2328.29
N991AT,85,22.3,2151.01
N905DE,21,15.9,3310.32
N17169,200,31.3,4253.47
N738EV,368,30.5,7053.82
N12163,200,30.5,4195.2
N153PQ,85,21.0,2385.18
N758EV,200,30.7,3990.18
N860AS,85,23.3,2172.89
N11165,5,0.26,514.21
N395HA,524,35.6,9893.88
N636MQ,524,36.3,9570.72
N699MQ,200,31.2,4388.73
N0EGMQ,21,15.5,3180.56
N648MQ,85,22.5,2160.27
N535MQ,85,21.3,2154.05
N850MQ,85,21.2,2235.87
N426SW,21,16.3,3180.69
N161PQ,368,30.8,7143.07
N453SW,5,0.24,456.78
N545UA,85,21.2,2242.6
N740EV,85,22.9,2190.6
N843AS,200,28.3,4206.17
N467UA,368,31.6,7482.75
N543UA,85,21.2,2252.49
N374DA,200,30.0,4352.76
N520UW,200,30.2,4229.53
N548UW,200,31.0,4091.88
N215UA,200,29.7,3981.02
N528VA,85,21.8,2113.36
N959WN,524,37.4,10405.0
N8642E,200,28.4,4329.1
N651SW,5,0.25,465.82
N781WN,368,31.3,7124.85
N384SW,85,22.1,2130.37
N451WN,85,21.8,2217.85
N220WN,200,29.6,4493.63
N933WN,21,15.7,3203.74
N958WN,524,36.6,9806.85
N655WN,200,29.2,4203.92
N445WN,368,31.7,7719.14
N476WN,85,21.6,2272.64
N437WN,85,21.3,2136.96
N77867,85,21.1,2319.76
N13718,85,21.4,2322.83
N640AA,368,33.8,7136.79
N3ALAA,85,23.2,2102.59
N438AA,200,28.3,4259.93
N570AS,85,22.1,2328.45
N584AS,21,15.4,3648.39
N583AS,200,31.4,4481.78
N603AT,200,28.5,4115.49
N896AT,368,32.8,7431.7
N322NB,200,29.6,4054.7
N947DL,85,23.3,2159.23
N926DH,368,31.4,7892.03
N939DL,85,21.0,2350.76
N19966,85,22.5,2323.79
N516MQ,21,15.5,3395.16
N922MQ,200,29.7,4336.47
N13913,524,39.4,9926.39
N613NK,21,16.2,3517.42
N327NW,21,15.2,3608.67
N977AT,85,21.8,2207.92
N15527,200,28.5,4349.78
N15572,524,35.4,10143.02
N16999,85,22.7,2339.52
N947SW,200,31.4,4330.89
N39415,85,22.0,2194.59
N17108,85,21.5,2251.18
N29906,85,23.1,2284.14
N963SW,85,21.4,2366.19
N884AS,85,21.7,2358.49
N636JB,368,33.6,7217.78
N17159,85,21.9,2336.5
N753SK,85,21.7,2228.97
N66056,21,16.7,3515.02
N526UA,85,21.2,2101.74
N414UA,368,32.3,7144.05
N7712G,368,31.3,7774.39
N928WN,21,15.9,3591.09
N372SW,85,22.2,2332.44
N8651A,368,32.0,7876.02
N7713A,85,21.7,2139.52
N395SW,85,23.4,2257.48
N450WN,200,28.3,4528.72
N8645A,85,22.0,2326.08
N8647A,200,28.9,3960.82
N447WN,368,30.7,7307.1
N251WN,85,22.7,2185.64
N235WN,200,30.6,4042.62
N763SW,524,37.7,9358.05
N36447,200,29.9,4245.36
N3CWAA,85,23.1,2107.62
N3HBAA,85,22.1,2343.04
N553AS,85,21.6,2414.44
N554JB,200,31.3,4021.26
N3756,368,32.3,6967.23
N961DL,368,34.0,7459.6
N944DN,85,23.0,2285.88
N315US,85,21.5,2251.81
N199DN,368,31.6,7454.14
N17524,368,31.4,7031.57
N16525,5,0.25,480.99
N14174,21,16.7,3503.17
N647MQ,524,39.2,9677.19
N441SW,85,21.9,2172.64
N15555,5,0.24,515.48
N839UA,200,30.3,4401.2
N949DN,524,35.3,9629.38
N229JB,524,36.7,9246.27
N14993,85,22.7,2289.25
N24103,85,23.5,2299.84
N968AT,85,22.8,2397.9
N820UA,200,29.9,4022.17
N35407,524,37.2,9265.05
N705JB,200,29.3,4031.72
N446SW,85,22.3,2291.47
N551UW,368,31.3,7401.84
N199UW,85,22.9,2256.01
N563UW,5,0.25,464.33
N104UW,368,34.1,7687.87
N635VA,85,21.6,2190.81
N482WN,85,21.5,2409.52
N8313F,85,22.9,2307.25
N8311Q,200,29.1,4466.39
N7722B,368,32.6,7044.02
N8608N,21,16.0,3424.1
N233LV,200,31.2,4319.39
N775SW,200,30.1,4038.82
N710SW,85,22.3,2333.61
N219WN,85,21.7,2161.08
N7726A,85,21.1,2408.07
N36280,524,38.2,10291.66
N57852,85,22.0,2113.09
N668AW,85,23.1,2122.09
N5ECAA,21,15.7,3358.02
N5EHAA,85,21.4,2193.35
N3AHAA,85,23.0,2341.39
N3BVAA,368,31.9,7043.91
N517AS,85,23.2,2239.72
N923DL,200,28.8,4396.55
N939DN,85,21.2,2406.58
N902DA,368,33.3,7716.94
N959DL,85,23.4,2171.68
N808DN,85,22.0,2125.48
N962DL,524,37.2,9900.75
N525US,85,23.1,2179.98
N845MH,524,36.6,10264.36
N935AT,85,22.3,2273.83
N195PQ,21,15.7,3381.93
N133EV,85,21.9,2139.82
N912EV,368,31.8,7234.82
N28529,200,28.8,4043.76
N745SK,524,36.2,9449.19
N16183,524,38.0,10498.7
N768UA,524,37.1,10121.19
N544UA,524,37.6,9385.35
N555AY,85,21.9,2135.53
N714US,85,22.6,2406.15
N841VA,85,23.5,2222.88
N764SW,200,30.6,4326.69
N751SW,368,33.5,7277.98
N733SA,85,23.4,2205.59
N639SW,368,34.0,7678.85
N8314L,85,21.1,2160.54
N964WN,21,16.9,3441.72
N514SW,200,31.5,4101.59
N8322X,200,28.4,4535.72
N37465,85,21.4,2373.65
N12114,524,36.2,9650.34
N37409,200,28.5,4145.91
N358AA,85,22.9,2296.32
N856AA,85,21.0,2130.79
N3HJAA,368,32.9,7211.95
N526AS,200,29.3,4210.95
N683DA,368,33.3,7388.2
N356AA,368,30.5,6906.41
N618DL,85,21.6,2195.99
N356NW,368,32.2,7150.2
N608QX,368,33.4,7820.86
N582HA,85,21.5,2237.07
N627MQ,85,21.6,2184.62
N522MQ,85,21.6,2336.23
N578SW,368,33.9,7225.98
N76515,85,22.1,2413.81
N738SK,85,22.7,2365.98
N747UW,85,22.2,2298.27
N745VJ,368,34.0,7500.86
N633AW,21,15.8,3455.91
N828AW,85,21.9,2172.68
N712US,524,35.8,9651.25
N839VA,524,39.2,9652.08
N280WN,524,35.5,9690.41
N746SW,21,16.4,3249.64
N8648A,200,28.8,4255.69
N479WN,85,21.7,2323.89
N916WN,85,22.4,2271.93
N8631A,85,22.3,2355.13
N472WN,368,32.3,7302.53
N7704B,200,29.1,4119.33
N555LV,85,22.3,2331.63
N7730A,200,28.9,4145.47
N14237,85,21.1,2321.48
N3FVAA,524,37.6,9326.86
N3HEAA,368,31.4,7886.99
N3FGAA,200,30.5,4016.79
N855AA,85,22.9,2165.98
N306JB,85,23.2,2244.62
N552JB,200,29.9,4388.44
N919DE,21,16.0,3463.38
N548US,368,32.6,7008.21
N956DL,368,33.4,7132.47
N10156,85,23.3,2144.18
N631SK,85,21.3,2131.82
N12238,524,36.2,9270.6
N37474,85,21.5,2306.67
N754EV,524,37.6,10039.08
N973SW,524,37.9,9694.31
N702TW,85,23.3,2315.64
N3754A,85,22.8,2139.78
N110UW,85,23.3,2141.29
N405UA,85,22.5,2168.87
N846VA,85,22.8,2193.4
N376SW,368,31.1,7065.59
N272WN,368,33.3,7790.77
N396SW,21,16.8,3246.52
N214WN,21,16.8,3263.4
N944WN,524,38.6,9447.54
N943WN,368,31.1,7114.81
N454WN,85,21.4,2360.77
N798SW,85,21.0,2164.7
N77258,524,35.9,9551.52
N834AW,200,31.5,4435.43
N3EEAA,85,22.4,2399.03
N490AA,85,22.7,2281.02
N5FCAA,85,21.5,2209.93
N706AS,524,39.0,10393.07
N180DN,368,31.8,6904.46
N335NW,368,32.4,7012.06
N384DA,5,0.25,499.93
N936DL,200,29.7,4266.11
N985DL,85,22.4,2411.03
N918DH,85,21.3,2401.3
N964DL,21,15.6,3587.5
N937DN,85,21.0,2320.55
N978DL,524,36.9,10050.4
N376NW,85,22.9,2367.71
N12569,85,22.2,2221.09
N498CA,200,28.5,4288.69
N910EV,200,30.7,4383.8
N662MQ,85,21.4,2403.66
N3764D,85,22.1,2316.16
N117SY,200,30.0,4489.44
N442UA,524,37.7,9457.19
N228WN,85,23.3,2205.11
N8306H,200,29.4,4173.72
N731SA,85,22.5,2189.65
N794SW,85,22.5,2204.31
N784SW,85,22.5,2154.69
N256WN,524,38.1,9739.38
N76505,200,28.4,4041.75
N665AW,200,28.4,4217.68
N3EKAA,85,23.4,2383.54
N3JUAA,368,32.9,7060.14
N592AS,200,28.5,4349.86
N588JB,85,21.4,2187.84
N583HA,85,21.9,2389.27
N381HA,524,38.9,9464.53
N515MQ,85,23.5,2322.11
N623MQ,85,22.9,2125.98
N14116,85,22.7,2246.84
N840UA,524,35.4,9644.16
N687DL,524,39.3,9176.58
N11536,524,36.1,10209.9
N823AS,85,22.6,2214.18
N408UA,5,0.25,500.32
N851AA,85,21.8,2349.49
N693CA,85,21.9,2277.29
N272AY,85,21.6,2371.47
N740UW,524,38.8,9172.69
N822AW,200,30.2,4476.16
N642AW,85,23.1,2188.44
N545UW,524,35.9,9369.39
N742PS,85,21.5,2165.59
N935UW,85,22.8,2319.59
N409UA,524,35.6,9190.32
N7711N,85,22.6,2357.26
N8601C,368,31.3,7308.43
N8324A,85,22.6,2313.55
N7733B,524,36.4,9334.53
N8602F,5,0.25,483.38
N428WN,524,36.7,9823.33
N3BXAA,200,29.8,4160.03
N513AS,200,30.1,3996.84
N658JB,85,22.4,2218.39
N935JB,200,30.5,4167.18
N551NW,85,22.0,2272.24
N310NW,85,21.6,2202.26
N681DA,524,36.2,10370.04
N313US,85,22.0,2204.3
N655DL,368,33.3,7866.88
N836AS,85,23.0,2103.59
N805SK,85,21.7,2157.21
N813SK,85,21.3,2153.71
N899SK,5,0.25,501.15
N607LR,368,32.6,7837.88
N13132,524,38.5,10119.04
N684DA,85,23.1,2194.06
N281AY,368,32.3,7466.88
N202UW,85,22.8,2201.36
N188US,85,21.2,2199.72
N167US,85,22.4,2138.48
N154UW,368,33.0,7593.42
N463UA,368,33.5,7266.9
N921WN,85,22.0,2280.71
N8638A,200,28.3,4197.24
N232WN,524,35.5,9477.98
N948WN,200,28.5,4350.98
N7718B,21,16.2,3493.51
N7747C,368,31.2,7910.91
N8316H,85,21.9,2153.12
N923WN,85,23.4,2293.38
N77525,200,29.8,4182.24
N191UW,85,23.1,2290.53
N3LWAA,85,22.8,2390.0
N583AA,85,21.1,2200.22
N4XWAA,85,23.1,2384.78
N528AS,85,23.4,2308.08
N929DL,85,21.7,2337.39
N379DA,524,36.2,9789.14
N588NW,200,30.4,4258.23
N6703D,85,22.1,2195.9
N308DE,85,23.4,2334.36
N340NW,200,29.4,4310.33
N757AT,200,28.6,4165.48
N931DL,21,15.7,3467.98
N19554,524,39.3,9923.11
N21537,368,34.0,7755.48
N728SK,368,31.4,7868.4
N584SW,85,23.4,2226.52
N27190,85,21.1,2281.23
N754UW,85,22.2,2313.65
N892AT,524,35.6,9524.57
N18220,368,32.8,6891.11
N18243,85,22.0,2155.38
N17146,85,22.3,2325.72
N73860,85,21.9,2244.51
N763US,5,0.25,514.74
N730US,85,21.1,2346.75
N812AW,524,37.9,9219.74
N640VA,85,21.2,2122.69
N250WN,85,22.8,2142.44
N718SW,524,39.1,9531.96
N707SA,85,21.4,2246.4
N8310C,200,29.4,3969.15
N387SW,85,22.6,2104.38
N8650F,85,22.8,2317.2
N211WN,85,22.3,2103.6
N432WN,5,0.25,504.86
N491WN,85,23.1,2171.31
N655AW,200,30.0,4211.47
N3BSAA,524,35.5,9437.6
N560AS,85,22.6,2216.04
N718TW,524,38.2,10337.43
N823DN,524,36.3,9608.8
N317US,85,21.7,2360.6
N14198,85,22.8,2228.86
N138EV,85,23.4,2174.58
N391HA,200,30.8,4144.84
N590HA,21,15.6,3395.91
N684MQ,524,37.7,9972.48
N534MQ,200,29.0,4373.99
N673MQ,85,21.5,2267.93
N609NK,200,30.1,4012.96
N779CA,85,22.1,2200.33
N603QX,85,22.1,2108.8
N448SW,368,34.0,7066.19
N689DL,85,23.2,2148.12
N723EV,5,0.27,460.9
N77520,200,30.3,4494.34
N770UW,85,21.4,2243.24
N7750A,524,36.4,9230.51
N411WN,85,21.4,2381.79
N715SW,85,21.3,2369.74
N945WN,368,32.4,7034.76
N732SW,85,22.8,2220.52
N709SW,524,37.5,10461.09
N417WN,85,23.1,2185.55
N8643A,85,22.5,2263.24
N774SW,524,35.6,10041.99
N403WN,200,28.7,4493.42
N769SW,524,37.2,9857.51
N650SW,85,21.4,2208.35
N54241,85,23.0,2137.79
N407UA,85,21.8,2397.71
N75428,21,15.4,3533.33
N3BYAA,85,22.4,2387.75
N503AA,524,38.0,9430.46
N559AS,200,30.4,4528.79
N603JB,85,23.3,2193.39
N989AT,21,15.9,3232.65
N228PQ,85,23.1,2279.98
N613QX,85,23.1,2264.15
N73291,85,21.7,2349.18
N37267,85,21.3,2287.07
N38403,21,15.6,3306.08
N181UW,85,22.0,2349.56
N649AW,85,23.3,2389.14
N578UW,85,23.4,2279.94
N733UW,85,23.1,2337.96
N102UW,85,23.4,2123.08
N653AW,368,33.5,7022.26
N767UW,524,35.6,10158.07
N124DE,85,23.3,2347.75
N461UA,85,21.2,2141.36
N413UA,85,21.6,2356.03
N287AY,85,21.3,2280.32
N580UW,85,23.1,2129.95
N667UA,85,22.2,2292.51
N510UA,85,21.7,2214.06
N636VA,85,22.3,2160.66
N633VA,524,36.5,10300.44
N413WN,85,21.8,2298.04
N489WN,21,15.4,3506.76
N7714B,368,33.8,6997.0
N734SA,85,21.7,2187.01
N646SW,85,22.3,2247.29
N404WN,85,22.7,2171.28
N41140,368,30.7,6903.0
N36469,200,28.2,4358.11
N794AA,85,22.3,2236.12
N3BRAA,200,30.4,4169.77
N3CDAA,368,33.8,7509.2
N4XVAA,21,16.1,3533.88
N3EAAA,524,35.8,10017.73
